count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
804029,2018,7,"East of England",129,Peterborough,U,Minor,,,516849,300926,52.59357900,-0.27642363,,,Counted,"Manual count",32,4,997,9,141,4,0,0,1,0,0,5,1155
804030,2018,7,"East of England",129,Peterborough,U,Minor,,,517762,301798,52.60121800,-0.26264200,,,Counted,"Manual count",137,12,2842,0,256,10,4,0,0,0,0,14,3124
804031,2018,7,"East of England",129,Peterborough,U,Minor,,,516340,304464,52.62548000,-0.28269081,,,Counted,"Manual count",48,8,1890,67,266,15,0,1,0,0,0,16,2247
801334,2018,7,"East of England",129,Peterborough,C,Minor,,,519978,299869,52.58340100,-0.23063733,,,Counted,"Manual count",273,77,3853,69,246,16,1,1,0,0,0,18,4263
801049,2018,7,"East of England",129,Peterborough,C,Minor,,,517807,304688,52.62717600,-0.26094915,,,Counted,"Manual count",25,23,3249,6,583,40,4,17,5,6,1,71,3932
804033,2018,7,"East of England",129,Peterborough,U,Minor,,,518253,296853,52.55667700,-0.25715914,,,Counted,"Manual count",262,61,6338,6,846,78,13,8,0,47,11,158,7409
806183,2018,7,"East of England",129,Peterborough,C,Minor,,,522891,303327,52.61382200,-0.18638361,,,Counted,"Manual count",10,36,4536,27,1370,33,6,7,7,3,2,58,6028
806130,2018,7,"East of England",129,Peterborough,U,Minor,,,520524,306014,52.63849500,-0.22034548,,,Counted,"Manual count",14,5,774,0,97,2,3,0,0,0,0,4,880
804032,2018,7,"East of England",129,Peterborough,U,Minor,,,520447,301720,52.59992900,-0.22304604,,,Counted,"Manual count",58,45,2631,62,293,11,6,1,0,0,1,20,3050
804034,2018,7,"East of England",129,Peterborough,U,Minor,,,517427,299678,52.58224100,-0.26833713,,,Counted,"Manual count",97,9,4474,127,343,19,7,3,0,0,0,30,4982
81046,2020,7,"East of England",129,Peterborough,A47,Major,A47,"LOVE'S HILL",513590,298360,52.57121100,-0.32539171,0.40,0.25,Counted,"Manual count",3,8,1412,7,192,9,3,1,1,0,2,15,1634
81079,2020,7,"East of England",129,Peterborough,A47,Major,A6118,"MARHOLM ROAD",510000,299260,52.58003600,-0.37804090,6.80,4.23,Counted,"Manual count",0,96,14408,15,2803,282,73,223,40,152,979,1749,19070
804035,2018,7,"East of England",129,Peterborough,U,Minor,,,518720,296192,52.55063600,-0.25051049,,,Counted,"Manual count",14,24,4024,0,377,21,8,2,2,0,1,34,4459
80900,2020,7,"East of England",129,Peterborough,A47,Major,A47,"MARHOLM ROAD",513700,298510,52.57253600,-0.32371799,0.30,0.19,Counted,"Manual count",0,5,1389,5,216,6,1,1,1,1,1,11,1626
73748,2020,7,"East of England",129,Peterborough,A1175,Major,A1,"LA Boundary",502630,306000,52.64204500,-0.48467582,0.90,0.56,Estimated,"Estimated using previous year's AADF on this link",36,17,4099,14,618,44,3,12,0,4,1,64,4811
801049,2020,7,"East of England",129,Peterborough,C,Minor,,,517807,304688,52.62717600,-0.26094915,,,Estimated,"Estimated using previous year's AADF on this link",39,15,2563,5,501,32,3,12,4,4,1,55,3140
804030,2020,7,"East of England",129,Peterborough,U,Minor,,,517762,301798,52.60121800,-0.26264200,,,Counted,"Manual count",226,27,2191,0,208,5,7,2,0,0,0,13,2439
804033,2020,7,"East of England",129,Peterborough,U,Minor,,,518253,296853,52.55667700,-0.25715914,,,Counted,"Manual count",142,38,4292,0,789,50,14,7,9,13,15,108,5227
804034,2020,7,"East of England",129,Peterborough,U,Minor,,,517427,299678,52.58224100,-0.26833713,,,Counted,"Manual count",147,15,4065,101,318,13,12,0,0,1,0,25,4524
812197,2020,7,"East of England",129,Peterborough,U,Minor,,,519357,297655,52.56364300,-0.24059474,,,Estimated,"Estimated using previous year's AADF on this link",33,0,233,0,43,0,0,0,0,0,0,0,276
804032,2020,7,"East of England",129,Peterborough,U,Minor,,,520447,301720,52.59992900,-0.22304604,,,Counted,"Manual count",40,19,2512,47,264,5,0,0,0,0,0,5,2846
804035,2020,7,"East of England",129,Peterborough,U,Minor,,,518720,296192,52.55063600,-0.25051049,,,Counted,"Manual count",27,33,3260,0,339,11,4,2,0,0,1,18,3651
810369,2020,7,"East of England",129,Peterborough,U,Minor,,,517612,294929,52.53952700,-0.26729049,,,Counted,"Manual count",71,13,1557,38,205,4,2,0,0,0,0,5,1818
806380,2020,7,"East of England",129,Peterborough,U,Minor,,,519156,300756,52.59155100,-0.24244442,,,Counted,"Manual count",42,2,1015,0,116,5,2,0,0,0,0,7,1139
809199,2020,7,"East of England",129,Peterborough,B1443,Minor,,,506548,305645,52.63810000,-0.42690984,,,Estimated,"Estimated using previous year's AADF on this link",70,10,1439,15,255,19,2,3,2,0,2,27,1747
810744,2020,7,"East of England",129,Peterborough,U,Minor,,,520054,298704,52.57291600,-0.22993792,,,Counted,"Manual count",171,18,2033,75,287,22,3,9,1,0,0,35,2448
806130,2020,7,"East of England",129,Peterborough,U,Minor,,,520524,306014,52.63849500,-0.22034548,,,Counted,"Manual count",24,0,665,2,108,2,1,0,0,0,0,3,778
801334,2020,7,"East of England",129,Peterborough,C,Minor,,,519978,299869,52.58340100,-0.23063733,,,Counted,"Manual count",308,32,2895,56,208,3,1,1,2,0,0,7,3198
807202,2020,7,"East of England",129,Peterborough,U,Minor,,,517062,299101,52.57713400,-0.27392515,,,Counted,"Manual count",92,9,2669,74,291,4,2,0,2,0,0,8,3051
802532,2020,7,"East of England",129,Peterborough,U,Minor,,,523162,308248,52.65797700,-0.18054951,,,Estimated,"Estimated using previous year's AADF on this link",0,0,36,0,18,0,0,0,0,1,0,1,56
805789,2020,7,"East of England",129,Peterborough,U,Minor,,,505403,302372,52.60891100,-0.44486626,,,Counted,"Manual count",34,4,1011,7,142,4,0,0,0,0,0,4,1168
805538,2020,7,"East of England",129,Peterborough,B1167,Minor,,,532698,308855,52.66118300,-0.03940725,,,Counted,"Manual count",18,22,1126,1,311,24,4,19,3,4,3,59,1519
7536,2019,7,"East of England",129,Peterborough,A1179,Major,A1260,A15,518000,298650,52.57287900,-0.26025025,3.30,2.05,Estimated,"Estimated using previous year's AADF on this link",168,57,12312,230,1032,92,11,10,9,1,4,127,13758
17286,2019,7,"East of England",129,Peterborough,A605,Major,A1260,A1129,517914,297424,52.56188200,-0.26195422,1.60,0.99,Estimated,"Estimated using previous year's AADF on this link",487,98,11182,150,1296,92,14,5,3,5,2,122,12849
16206,2019,7,"East of England",129,Peterborough,A15,Major,A605,A605,519240,297800,52.56497200,-0.24226783,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",486,139,14762,416,1609,202,58,22,18,5,1,305,17231
80975,2019,7,"East of England",129,Peterborough,A1139,Major,A1260,"A1139 spur",518638,295866,52.54772500,-0.25183566,1.50,0.93,Counted,"Manual count",0,326,58113,81,9930,1383,371,411,134,533,3248,6079,74529
16076,2019,7,"East of England",129,Peterborough,A1,Major,A6118,"A43 Worthorpe",507280,300546,52.59213500,-0.41774995,8.00,4.97,Estimated,"Estimated using previous year's AADF on this link",0,290,45320,164,10339,914,272,284,296,1748,3684,7198,63311
56220,2019,7,"East of England",129,Peterborough,A15,Major,"Bishop's Road roundabout",A1179,519000,298400,52.57041500,-0.24559162,0.80,0.50,Estimated,"Estimated using previous year's AADF on this link",235,204,20030,561,2491,186,37,19,18,14,9,283,23570
28020,2019,7,"East of England",129,Peterborough,A15,Major,A1129,A1129,518780,297100,52.55878200,-0.24930129,0.10,0.06,Counted,"Manual count",190,74,8005,211,795,28,5,1,2,1,2,39,9124
18007,2019,7,"East of England",129,Peterborough,A605,Major,A1129,B1091,520090,297000,52.55759600,-0.23002354,0.80,0.50,Estimated,"Estimated using previous year's AADF on this link",286,113,10300,47,1538,75,14,5,6,0,0,99,12098
56096,2019,7,"East of England",129,Peterborough,A1139,Major,"A1139 Orton Parkway",A1260,516000,294840,52.53907300,-0.29107825,2.90,1.80,Counted,"Manual count",0,364,61215,107,9942,1634,328,335,180,688,3431,6598,78225
46221,2019,7,"East of England",129,Peterborough,A15,Major,A605,"Bishops Road roundabout",519260,298000,52.56676400,-0.24190105,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",1640,291,23580,513,2809,113,24,10,10,2,2,160,27353
81587,2019,7,"East of England",129,Peterborough,A16,Major,"LA Boundary",A47,521439,303577,52.61639400,-0.20772584,7.00,4.35,Estimated,"Estimated using previous year's AADF on this link",1,71,11155,28,2069,268,66,64,75,603,909,1985,15307
